iter	Passed	Remaining
674	1573	291
675	1576	289
676	1579	286
677	1581	284
678	1583	282
679	1585	279
680	1588	277
681	1590	275
682	1593	272
683	1595	270
684	1597	268
685	1600	265
686	1602	263
687	1604	261
688	1606	258
689	1609	256
690	1611	254
691	1613	251
692	1615	249
693	1618	247
694	1620	244
695	1622	242
696	1624	240
697	1627	237
698	1629	235
699	1631	233
700	1633	230
701	1636	228
702	1638	226
703	1640	223
704	1643	221
705	1645	219
706	1647	216
707	1649	214
708	1652	212
709	1655	209
710	1658	207
711	1660	205
712	1662	202
713	1665	200
714	1667	198
715	1669	195
716	1672	193
717	1675	191
718	1677	189
719	1680	186
720	1682	184
721	1684	181
722	1687	179
723	1690	177
724	1692	175
725	1694	172
726	1696	170
727	1699	168
728	1701	165
729	1703	163
730	1705	160
731	1707	158
732	1710	156
733	1712	154
734	1715	151
735	1717	149
736	1719	146
737	1721	144
738	1724	142
739	1726	139
740	1728	137
741	1730	135
742	1732	132
743	1735	130
744	1737	128
745	1739	125
746	1742	123
747	1744	121
748	1746	118
749	1748	116
750	1750	114
751	1752	111
752	1755	109
753	1757	107
754	1760	104
755	1762	102
756	1765	100
757	1768	97
758	1770	95
759	1772	93
760	1774	90
761	1777	88
762	1779	86
763	1781	83
764	1784	81
765	1786	79
766	1788	76
767	1791	74
768	1793	72
769	1796	69
770	1798	67
771	1800	65
772	1803	63
773	1806	60
774	1808	58
775	1811	56
776	1813	53
777	1815	51
778	1817	48
779	1819	46
780	1822	44
781	1824	42
782	1827	39
783	1829	37
784	1831	34
785	1833	32
786	1836	30
787	1838	28
788	1841	25
789	1843	23
790	1846	21
791	1848	18
792	1850	16
793	1852	14
794	1855	11
795	1857	9
796	1859	6
797	1861	4
798	1864	2
799	1866	0
